event_id,product_id,quantity_delta,reason,occurred_at,ingested_at
IE100,P100,100,receipt,2026-08-01 08:00:00,2026-08-01 08:01:00
IE101,P100,-2,sale,2026-08-01 09:20:00,2026-08-01 09:21:00
IE102,P200,50,receipt,2026-08-01 08:00:00,2026-08-01 08:01:00
IE103,P200,-1,sale,2026-08-01 09:20:00,2026-08-01 09:21:00
IE104,P300,30,receipt,2026-08-01 08:00:00,2026-08-01 08:01:00
IE105,P300,-1,sale,2026-08-01 10:12:00,2026-08-01 10:13:00
IE106,P100,-1,sale,2026-08-03 12:15:00,2026-08-03 12:16:00
IE107,P100,-1,sale,2026-08-03 13:18:00,2026-08-03 13:19:00
IE108,P200,-2,sale,2026-08-04 14:11:00,2026-08-04 14:12:00
IE108,P200,-2,sale,2026-08-04 14:11:00,2026-08-04 14:13:00
